City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san patricio,28.017,-97.5169,23.97,74,54,6.07,US,1738801052
1,kavaratti,10.5669,72.642,26.94,73,13,4.12,IN,1738801055
2,utrik,11.2278,169.8474,26.34,82,87,8.73,MH,1738801056
3,rio grande,-32.035,-52.0986,25.25,92,20,8.2,BR,1738801057
4,kuanda,56.3161,116.0806,-37.49,89,31,1.36,RU,1738801058
5,cabedelo,-6.9811,-34.8339,24.37,88,100,5.89,BR,1738800935
6,bethel,41.3712,-73.414,-2.83,52,0,0.45,US,1738801060
7,mulayjah,27.271,48.4242,19.87,10,100,6.6,SA,1738801063
8,adamstown,-25.066,-130.1015,25.43,76,4,6.59,PN,1738801064
9,waitangi,-43.9535,-176.5597,15.46,79,84,3.13,NZ,1738801065
10,edinburgh of the seven seas,-37.0676,-12.3116,18.92,95,66,10.45,SH,1738801066
11,afaahiti,-17.75,-149.2833,26.45,78,78,7.33,PF,1738801067
12,margaret river,-33.95,115.0667,21.23,69,0,7.04,AU,1738801068
13,campbellton,48.0075,-66.6727,-16.75,85,61,4.49,CA,1738801069
14,walvis bay,-22.9575,14.5053,17.71,90,98,3.34,NA,1738801070
15,puerto ayora,-0.7393,-90.3518,25.31,95,73,0.89,EC,1738801071
16,port alfred,-33.5906,26.891,18.99,99,100,1.34,ZA,1738801072
17,grytviken,-54.2811,-36.5092,1.41,98,100,7.47,GS,1738801073
18,puerto rosario,-24.45,-57.0833,28.75,58,79,2.55,PY,1738801074
19,klaksvik,62.2266,-6.589,8.42,82,100,19.51,FO,1738801076
20,camabatela,-8.1881,15.375,17.84,98,100,1.05,AO,1738801078
21,yanbu,24.0891,38.0637,19.02,68,0,5.14,SA,1738800872
22,namibe,-15.1961,12.1522,23.11,84,100,3.51,AO,1738801080
23,ishigaki,24.3448,124.1572,17.07,55,75,6.17,JP,1738801081
24,geraldton,-28.7667,114.6,25.23,78,100,5.66,AU,1738801082
25,albany,42.6001,-73.9662,-7.46,63,43,1.38,US,1738801084
26,kirkwall,58.9848,-2.9587,6.03,81,6,6.17,GB,1738800834
27,blackmans bay,-43.0167,147.3167,21.4,55,71,0.89,AU,1738801029
28,invercargill,-46.4,168.35,14.45,72,89,3.13,NZ,1738801069
29,eyl,7.9803,49.8164,21.47,77,23,6.78,SO,1738801089
30,aasiaat,68.7098,-52.8699,-29.17,100,75,2.36,GL,1738801090
31,gombong,-7.6072,109.5142,25.72,80,46,3.42,ID,1738801091
32,belmonte,-15.8631,-38.8828,25.43,85,100,2.95,BR,1738801092
33,nova sintra,14.8667,-24.7167,22.72,68,5,7.18,CV,1738801093
34,bela,25.9333,81.9833,10.66,48,0,4.14,IN,1738801094
35,sejenane,37.0572,9.2381,8.08,94,80,1.55,TN,1738801095
36,lompoc,34.6391,-120.4579,16.74,93,100,2.57,US,1738801096
37,hermanus,-34.4187,19.2345,14.33,71,88,3.18,ZA,1738801097
38,gobabis,-22.45,18.9667,21.42,69,93,7.8,NA,1738801098
39,saint-philippe,-21.3585,55.7679,26.98,85,39,2.55,RE,1738801099
40,college,64.8569,-147.8028,-7.74,80,100,0.0,US,1738801100
41,argamasilla de calatrava,38.7384,-4.015,5.79,63,0,0.68,ES,1738801101
42,olonkinbyen,70.9221,-8.7187,-1.63,99,91,16.54,SJ,1738801102
43,prineville,44.2999,-120.8345,2.39,77,0,4.12,US,1738800968
44,port-aux-francais,-49.35,70.2167,7.37,95,100,9.11,TF,1738801104
45,tralee,52.2704,-9.7026,2.75,90,1,2.41,IE,1738801106
46,iqaluit,63.7506,-68.5145,-29.15,69,40,2.57,CA,1738800902
47,xinyu,27.8043,114.9334,7.69,70,92,2.0,CN,1738801108
48,lazaro cardenas,17.9583,-102.2,27.28,61,0,3.35,MX,1738801109
49,bilibino,68.0546,166.4372,-40.44,94,7,0.82,RU,1738801110
50,shingu,33.7333,135.9833,2.58,51,8,5.96,JP,1738801111
51,yuzhno-kurilsk,44.0306,145.8556,-0.93,77,25,3.91,RU,1738801112
52,mar del plata,-38.0023,-57.5575,21.58,84,75,5.66,AR,1738800853
53,mount gambier,-37.8333,140.7667,23.71,49,7,1.86,AU,1738801114
54,kodiak,57.79,-152.4072,5.73,52,0,4.12,US,1738801115
55,puerto ayacucho,5.6639,-67.6236,28.12,64,70,3.66,VE,1738801116
56,bardai,11.65,7.2333,18.5,13,1,4.11,NG,1738801117
57,minas de marcona,-15.2119,-75.1103,19.64,73,96,5.71,PE,1738801118
58,whitehorse,60.7161,-135.0538,-17.57,85,75,3.09,CA,1738800724
59,el calafate,-50.3408,-72.2768,12.33,58,50,5.05,AR,1738801120
60,kristiansund,63.1115,7.732,6.36,65,40,7.2,NO,1738801121
61,watsa,3.0372,29.5355,20.61,52,100,0.67,CD,1738801122
62,ormond-by-the-sea,29.3491,-81.0665,21.05,91,0,2.57,US,1738801123
63,mantua,45.1667,10.7833,0.34,84,1,0.18,IT,1738801124
64,west island,-12.1568,96.8225,27.99,89,100,6.17,CC,1738801126
65,ialibu,-6.2821,143.9935,18.61,84,89,1.39,PG,1738801128
66,impfondo,1.6381,18.0667,25.27,65,87,0.9,CG,1738801129
67,vadso,70.0744,29.7487,-3.91,93,100,7.2,NO,1738801130
68,madalena,41.2162,-8.3345,8.32,71,83,1.64,PT,1738801131
69,cabo san lucas,22.8909,-109.9124,25.17,31,0,3.09,MX,1738800945
70,longyearbyen,78.2186,15.6401,0.91,51,20,7.2,SJ,1738801133
71,ilulissat,69.2167,-51.1,-23.99,58,8,6.17,GL,1738801134
72,avarua,-21.2078,-159.775,29.03,79,100,3.09,CK,1738800916
73,acarau,-2.8856,-40.12,25.35,86,97,3.46,BR,1738801136
74,paita,-5.0892,-81.1144,22.89,81,63,5.17,PE,1738801137
75,thompson,55.7435,-97.8558,-14.91,66,75,5.14,CA,1738801138
76,mount isa,-20.7333,139.5,28.87,70,75,3.09,AU,1738801139
77,tegueste,28.5167,-16.3167,14.99,83,75,5.81,ES,1738801140
78,pereslavl'-zalesskiy,56.7393,38.8563,-3.73,95,25,1.43,RU,1738801141
79,kone,-21.0595,164.8658,30.65,66,96,2.6,NC,1738801142
80,badger,64.8,-147.5333,-7.79,86,100,0.0,US,1738801144
81,angaur state,6.906,134.13,27.45,83,98,7.52,PW,1738801145
82,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,43,20,3.0,RU,1738801146
83,sankheda,22.1667,73.5833,17.32,33,0,3.31,IN,1738801147
84,port mathurin,-19.6833,63.4167,27.12,76,7,2.93,MU,1738801008
85,stanley,54.868,-1.6985,0.01,100,0,1.54,GB,1738801149
86,at taj,24.2049,23.2857,12.06,50,84,4.41,LY,1738800887
87,luderitz,-26.6481,15.1594,19.29,70,91,11.31,NA,1738801144
88,enoch,37.7733,-113.0244,13.14,43,20,6.17,US,1738801152
89,san antonio de pale,-1.4014,5.6325,27.77,78,100,2.91,GQ,1738801153
90,asaita,11.5636,41.4394,19.63,68,2,3.91,ET,1738801154
91,pahrump,36.2083,-115.9839,19.58,44,56,4.92,US,1738801134
92,soe,-9.8607,124.284,22.73,80,94,2.77,ID,1738801156
93,georgetown,5.4112,100.3354,26.96,78,20,2.06,MY,1738801132
94,sao joao da barra,-21.6403,-41.0511,25.2,84,0,9.16,BR,1738801158
95,lihue,21.9789,-159.3672,23.77,73,40,4.12,US,1738801160
96,cidreira,-30.1811,-50.2056,25.78,92,0,3.98,BR,1738801161
97,minas,-34.3759,-55.2377,18.73,93,100,6.99,UY,1738800866
98,narsimhapur,22.95,79.2,14.6,37,0,1.38,IN,1738801163
99,hami,42.8,93.45,-8.32,47,0,2.02,CN,1738801164
100,ulladulla,-35.35,150.4667,23.52,71,38,3.07,AU,1738801166
101,coahuayana de hidalgo,18.7,-103.6583,26.98,67,0,2.19,MX,1738801167
102,n'zeto,-7.2312,12.8666,26.28,86,78,3.48,AO,1738801168
103,las khorey,11.1595,48.1967,21.58,74,3,3.88,SO,1738801169
104,am timan,11.0297,20.2827,26.07,19,59,2.98,TD,1738801170
105,horta,38.5333,-28.6333,17.23,95,59,7.15,PT,1738801171
106,chegdomyn,51.1167,133.0167,-15.27,89,100,1.66,RU,1738801172
107,ust-nera,64.5667,143.2,-40.1,98,65,1.55,RU,1738801173
108,carnarvon,-24.8667,113.6333,27.31,71,14,7.65,AU,1738801174
109,omdurman,15.6445,32.4777,23.92,15,0,8.38,SD,1738801175
110,alo,6.5486,4.2686,26.59,87,58,2.19,NG,1738801176
111,enewetak,11.3474,162.3373,26.93,74,96,7.02,MH,1738801177
112,les anglais,18.3054,-74.2197,23.55,75,81,0.38,HT,1738801179
113,ribeira grande,38.5167,-28.7,17.65,95,59,7.15,PT,1738801180
114,ambovombe,-25.1667,46.0833,24.02,90,9,1.53,MG,1738801181
115,kalabo,-14.97,22.6814,19.21,98,100,1.7,ZM,1738801182
116,qaqortoq,60.7167,-46.0333,-23.45,80,4,3.92,GL,1738801183
117,vorgashor,67.5833,63.95,-14.06,97,99,3.41,RU,1738801186
118,east london,-33.0153,27.9116,21.43,89,100,5.23,ZA,1738800917
119,isafjordur,66.0755,-23.124,1.28,83,83,22.87,IS,1738801188
120,bredasdorp,-34.5322,20.0403,17.69,53,100,2.01,ZA,1738801189
121,arno,60.1167,18.6333,0.86,82,45,2.72,SE,1738801190
122,weno,7.4515,151.8468,27.97,89,100,4.63,FM,1738801071
123,solleftea,63.1667,17.2667,-4.08,84,9,2.66,SE,1738801193
124,hammerfest,70.6634,23.6821,3.25,75,75,9.77,NO,1738801194
125,taksimo,56.3444,114.8794,-34.15,87,25,1.29,RU,1738801195
126,hailar,49.2,119.7,-33.68,100,100,1.57,CN,1738801057
127,tazovsky,67.4667,78.7,-18.78,97,67,3.04,RU,1738801197
128,punaauia,-17.6333,-149.6,27.8,74,75,4.12,PF,1738801199
129,morehead city,34.7229,-76.726,9.0,78,100,6.69,US,1738801200
130,east end,34.5507,-92.341,18.73,98,100,3.22,US,1738801201
131,kedrovyy,56.1667,91.8167,-19.91,99,100,2.44,RU,1738801203
132,banjarmasin,-3.3244,114.591,27.08,92,100,1.62,ID,1738800928
133,saint-pierre,-21.3393,55.4781,26.82,78,75,2.57,RE,1738801205
134,point pedro,9.8167,80.2333,25.83,70,37,4.93,LK,1738801206
135,chonchi,-42.6128,-73.8092,13.95,80,87,2.34,CL,1738801207
136,ushuaia,-54.8,-68.3,11.81,58,20,1.03,AR,1738801208
137,selfoss,63.9331,-20.9971,6.14,77,100,20.21,IS,1738801209
138,nuuk,64.1835,-51.7216,-13.66,66,75,3.09,GL,1738801211
139,iskateley,67.6803,53.1512,-8.03,90,87,8.03,RU,1738801001
140,yellowknife,62.456,-114.3525,-6.44,90,75,8.23,CA,1738800914
141,atafu village,-8.5421,-172.5159,28.73,72,35,7.05,TK,1738801214
142,saudarkrokur,65.7461,-19.6394,4.01,78,90,20.55,IS,1738801215
143,kapuskasing,49.4169,-82.4331,-11.95,67,20,3.09,CA,1738801216
144,polyarnyy,69.1989,33.4478,-5.82,83,87,10.16,RU,1738801217
145,tromso,69.6496,18.957,1.01,86,75,7.2,NO,1738801218
146,tiksi,71.6872,128.8694,-29.27,97,100,3.12,RU,1738801219
147,ust'-barguzin,53.45,108.9833,-27.24,100,95,0.52,RU,1738801220
148,dryden,49.7833,-92.7503,-12.84,56,100,2.06,CA,1738801221
149,khandyga,62.6667,135.6,-43.13,100,51,0.46,RU,1738801223
150,yemetsk,63.4721,41.7941,-9.62,95,100,3.42,RU,1738801225
151,taroa,8.7058,171.2275,26.73,84,81,9.66,MH,1738801226
152,hawaiian paradise park,19.5933,-154.9731,25.73,74,0,5.14,US,1738801228
153,sarina,-21.4333,149.2167,24.23,92,100,1.81,AU,1738801229
154,la baneza,42.3003,-5.8977,2.97,78,7,1.14,ES,1738801230
155,bereznik,62.8551,42.7072,-8.9,97,100,2.46,RU,1738801231
156,pajok,3.8651,32.4821,23.87,28,99,1.15,SS,1738801146
157,flying fish cove,-10.4217,105.6791,26.82,94,100,6.17,CX,1738801233
158,saipan,15.1355,145.701,31.39,70,20,7.72,MP,1738801235
159,new norfolk,-42.7826,147.0587,22.62,43,59,1.15,AU,1738801236
160,papatowai,-46.5619,169.4708,14.67,56,71,3.06,NZ,1738801238
161,leava,-14.3,-178.1667,28.58,70,96,2.7,WF,1738801239
162,vilyuchinsk,52.9306,158.4028,0.15,78,100,6.39,RU,1738801240
163,urucui,-7.2294,-44.5561,27.27,60,86,1.8,BR,1738801242
164,mejit,10.2753,170.8646,26.44,84,95,9.66,MH,1738801243
165,jamestown,42.097,-79.2353,-5.2,69,0,3.6,US,1738801089
166,greenville,35.6127,-77.3663,7.29,71,100,3.13,US,1738801087
167,lerwick,60.1545,-1.1494,7.28,84,9,10.89,GB,1738801246
168,inari,68.906,27.0288,-2.81,85,100,3.8,FI,1738801248
169,lascano,-33.6667,-54.2,23.32,94,98,5.02,UY,1738801249
170,gizo,-8.103,156.8419,28.83,72,100,4.08,SB,1738801250
171,ploneour-lanvern,47.9,-4.2833,6.18,87,0,2.57,FR,1738801251
172,ermelo,-26.5333,29.9833,16.5,98,86,4.37,ZA,1738801252
173,moose jaw,50.4001,-105.5344,-18.86,84,100,8.75,CA,1738801253
174,puerto natales,-51.7236,-72.4875,10.09,92,100,2.24,CL,1738801059
175,undurkhaan,47.3194,110.6556,-24.41,65,72,8.04,MN,1738801255
176,callao,-12.0667,-77.15,27.07,83,0,5.66,PE,1738801256
177,tamiahua,21.2667,-97.45,22.91,86,4,2.77,MX,1738801258
178,lewiston orchards,46.3804,-116.9754,-0.83,86,75,2.57,US,1738801259
179,ruteng,-8.6136,120.4721,20.88,84,100,0.42,ID,1738801260
180,oodweyne,9.4092,45.064,16.88,53,53,1.79,SO,1738801261
181,whitecourt,54.1502,-115.6855,-17.42,65,40,3.6,CA,1738801262
182,algona,43.07,-94.233,-3.95,100,75,4.63,US,1738801263
183,nouadhibou,20.931,-17.0347,16.99,72,0,9.26,MR,1738801264
184,chui,-33.6971,-53.4616,23.29,92,97,6.89,UY,1738801265
185,mursan,27.5833,77.9333,9.03,38,0,2.84,IN,1738801266
186,guerrero negro,27.9769,-114.0611,16.44,72,0,6.87,MX,1738801267
187,chernomorskoye,45.5039,32.6997,1.76,60,99,6.3,UA,1738801268
188,hamilton,39.1834,-84.5333,1.07,92,100,4.63,US,1738800846
189,talnakh,69.4865,88.3972,-24.0,100,90,3.39,RU,1738801271
190,raduzhny,62.0961,77.475,-18.21,100,91,1.58,RU,1738801272
191,howrah,22.5892,88.3103,21.0,94,33,0.0,IN,1738801269
192,aykhal,66.0,111.5,-22.81,98,99,2.32,RU,1738801274
193,udachny,66.4167,112.4,-23.22,99,100,2.02,RU,1738801152
194,ciudad bolivar,8.1222,-63.5497,27.71,60,58,5.45,VE,1738801247
195,bereket,39.2446,55.5154,5.26,59,79,5.01,TM,1738801277
196,camiri,-20.05,-63.5167,24.98,53,17,1.81,BO,1738801280
197,karratha,-20.7377,116.8463,31.59,63,58,2.9,AU,1738801281
198,dakhla,23.6848,-15.958,16.69,86,0,8.92,EH,1738801282
199,kota,25.1833,75.8333,11.37,35,0,1.45,IN,1738801285
200,rethymno,35.3647,24.4714,9.2,73,100,11.87,GR,1738801223
201,suntar,62.1444,117.6319,-46.28,100,61,1.31,RU,1738801288
202,gadzhiyevo,69.2551,33.3362,-5.9,85,88,10.0,RU,1738801289
203,arraial do cabo,-22.9661,-42.0278,24.98,88,0,5.66,BR,1738801013
204,dondo,-19.6094,34.7431,21.93,90,26,0.58,MZ,1738801292
205,egilsstadir,65.2653,-14.3948,8.95,61,75,11.83,IS,1738801002
206,la rinconada,37.4873,-5.9826,10.74,74,1,1.9,ES,1738801294
207,portland,45.5234,-122.6762,4.23,93,100,3.6,US,1738800462
208,punta arenas,-53.15,-70.9167,12.06,66,100,3.09,CL,1738801007
209,klyuchi,52.2667,79.1667,-16.91,82,3,5.29,RU,1738801297
210,pisco,-13.7,-76.2167,23.03,83,75,6.69,PE,1738801153
211,brooks,50.5834,-111.8851,-21.01,65,100,5.14,CA,1738801200
212,hafar al-batin,28.4328,45.9708,15.32,55,40,5.14,SA,1738801300
213,otjiwarongo,-20.4637,16.6477,18.45,89,94,2.02,NA,1738801301
214,princeton,25.5384,-80.4089,23.34,82,20,3.6,US,1738801102
215,fortaleza,-3.7227,-38.5247,28.07,78,20,4.12,BR,1738800925
216,hadibu,12.65,54.0333,21.86,72,7,4.11,YE,1738801305
217,san luis de la loma,17.2706,-100.8939,27.41,62,0,2.55,MX,1738801306
218,as sulayyil,20.4607,45.5779,15.05,13,40,3.42,SA,1738801308
219,johi,26.6921,67.6133,14.39,19,0,2.81,PK,1738801309
220,bantay,17.5847,120.3892,24.65,67,100,2.31,PH,1738801311
221,trevelin,-43.0858,-71.4639,12.06,75,61,3.0,AR,1738801312
222,kingston,17.997,-76.7936,27.53,51,20,3.6,JM,1738801017
223,el charco,2.4769,-78.1105,23.93,95,77,1.85,CO,1738801314
224,urangan,-25.3,152.9,25.16,79,100,4.91,AU,1738801315
225,jalai nur,49.45,117.7,-21.66,89,100,3.98,CN,1738801316
226,terekli-mekteb,44.1671,45.8698,1.13,90,100,4.58,RU,1738801317
227,kourou,5.1552,-52.6478,24.18,94,95,3.18,GF,1738801318
228,lebu,-37.6167,-73.65,16.25,92,4,5.89,CL,1738801319
229,anadyr,64.75,177.4833,-36.67,65,0,5.0,RU,1738801117
230,haiku-pauwela,20.9219,-156.3051,23.98,78,40,8.05,US,1738801321
231,ouddorp,51.8117,3.9347,3.88,94,100,3.52,NL,1738801323
232,la passe,45.5549,-0.8967,6.6,83,83,5.64,FR,1738801092
233,paranaiba,-19.6772,-51.1908,22.6,85,99,2.15,BR,1738801325
234,sayan,-11.1361,-77.1933,22.36,79,100,1.92,PE,1738801326
235,enriquillo,17.9,-71.2333,23.03,88,42,5.41,DO,1738801327
236,mugia,43.1041,-9.2179,8.84,79,100,1.61,ES,1738801328
237,taltal,-25.4,-70.4833,19.77,84,34,1.44,CL,1738801129
238,tsiombe,-25.3,45.4833,24.4,97,38,2.09,MG,1738801330
239,tommot,58.9564,126.2925,-42.81,100,98,0.27,RU,1738801331
240,beau vallon,-20.4189,57.6953,26.13,89,20,1.54,MU,1738801332
241,mili,6.0815,171.735,27.05,83,72,10.11,MH,1738801333
242,bandarbeyla,9.4942,50.8122,22.93,74,61,6.54,SO,1738801334
243,westport,41.1415,-73.3579,-1.1,50,0,2.06,US,1738801335
244,buka,40.8108,69.1986,4.24,49,100,0.33,UZ,1738801336
245,sihanoukville,10.6093,103.5296,22.97,94,40,1.03,KH,1738801337
246,howard springs,-12.497,131.047,28.32,93,96,4.45,AU,1738801338
247,ola,59.5833,151.2833,-20.9,78,6,4.0,RU,1738801340
248,porto murtinho,-21.6989,-57.8825,29.83,57,14,5.24,BR,1738801341
249,wanning,18.8003,110.3967,19.36,85,86,1.78,CN,1738801342
250,timbiqui,2.7717,-77.6654,24.21,93,93,1.72,CO,1738801343
251,handan,36.6006,114.4678,-0.63,23,50,1.98,CN,1738801344
252,seguela,7.9611,-6.6731,24.93,23,20,1.33,CI,1738801345
253,yusufeli,40.8204,41.5443,0.93,95,100,1.67,TR,1738801346
254,fort mcmurray,56.7268,-111.381,-14.23,72,100,5.66,CA,1738801347
255,urengoy,65.9667,78.3667,-19.76,100,91,2.82,RU,1738801349
256,kapa'a,22.0752,-159.319,24.18,75,40,4.12,US,1738801350
257,ome,35.7839,139.2431,4.59,22,0,1.54,JP,1738801352
258,nelson,-41.2833,173.2833,21.27,83,100,0.45,NZ,1738801353
259,high river,50.5834,-113.8687,-19.83,85,100,2.08,CA,1738801354
260,corralillo,22.9819,-80.5856,22.9,73,3,6.27,CU,1738801355
261,jayapura,-2.5333,140.7,26.66,92,100,1.23,ID,1738801356
262,nemuro,43.3236,145.575,0.55,79,11,6.28,JP,1738801358
263,gupitan,7.7758,125.6406,22.2,98,100,1.65,PH,1738801359
264,kpandu,6.9954,0.2931,26.5,71,12,3.68,GH,1738801360
265,quellon,-43.1167,-73.6167,13.56,78,92,4.96,CL,1738801361
266,borogontsy,62.6683,131.1683,-43.16,100,54,1.34,RU,1738801362
267,svetlograd,45.3353,42.8547,-1.49,93,99,4.29,RU,1738801363
268,salalah,17.0151,54.0924,20.05,73,75,2.57,OM,1738801365
269,hasaki,35.7333,140.8333,4.66,32,0,7.15,JP,1738801366
270,baruun-urt,46.6806,113.2792,-23.7,86,96,6.81,MN,1738801367
271,muravlenko,63.7898,74.523,-14.92,98,98,3.72,RU,1738801368
272,erenhot,43.6475,111.9767,-18.71,72,100,7.79,CN,1738801370
273,ziniare,12.5822,-1.2983,24.3,17,20,3.99,BF,1738801371
274,salinopolis,-0.6136,-47.3561,26.23,83,92,4.5,BR,1738801372
275,wenatchee,47.4235,-120.3103,-3.86,72,100,2.06,US,1738801373
276,saint-louis,16.3333,-15.0,19.99,13,1,4.43,SN,1738801214
277,rouissat,31.9243,5.3502,9.04,71,0,2.06,DZ,1738801375
278,abbeville,50.1,1.8333,1.94,85,100,1.43,FR,1738801376
279,taunggyi,20.7833,97.0333,10.61,75,4,0.49,MM,1738801377
280,artesia,33.8658,-118.0831,20.19,71,40,0.89,US,1738801286
